borehole_id,n_samples,min_depth,max_depth,depth_range,total_min_depth,total_max_depth,total_depth_range
354-U1455-C,963,0.0,188.44000000000003,188.44000000000003,0.0,188.44000000000003,188.44000000000003
355-U1457-C,2149,40.28,221.8,181.52,40.28,221.8,181.52
356-U1462-C,1869,11.4,188.44000000000003,177.04000000000002,11.4,188.44000000000003,177.04000000000002
356-U1461-B,3465,0.0,175.44000000000003,175.44000000000003,0.0,175.44000000000003,175.44000000000003
359-U1468-A,2181,0.0,169.36,169.36,0.0,169.36,169.36
360-U1473-A,2588,1.92,157.88000000000002,155.96000000000004,1.92,157.88000000000002,155.96000000000004
353-U1447-A,3469,0.0,148.08,148.08,0.0,148.08,148.08
351-U1438-E,2241,173.44000000000003,320.92,147.48,173.44000000000003,320.92,147.48
356-U1462-A,1485,23.32,169.04000000000002,145.72000000000003,23.32,169.04000000000002,145.72000000000003
368X-U1503-A,900,199.04000000000002,341.1600000000001,142.12000000000006,199.04000000000002,341.1600000000001,142.12000000000006
362-U1480-F,1181,19.6,161.12,141.52,19.6,161.12,141.52
359-U1467-C,1284,0.0,141.48000000000002,141.48000000000002,0.0,141.48000000000002,141.48000000000002
350-U1437-E,1940,220.8,360.04,139.24,220.8,360.04,139.24
374-U1522-A,1362,0.0,139.08,139.08,0.0,139.08,139.08
369-U1512-A,3096,1.92,140.20000000000002,138.28000000000003,1.92,140.20000000000002,138.28000000000003
371-U1509-A,2268,0.04000000000000001,137.92000000000002,137.88000000000002,0.04000000000000001,137.92000000000002,137.88000000000002
354-U1450-A,1363,0.0,137.44000000000003,137.44000000000003,0.0,137.44000000000003,137.44000000000003
359-U1471-A,1772,0.0,136.24,136.24,0.0,136.24,136.24
351-U1438-D,2556,43.800000000000004,178.96000000000004,135.16000000000003,43.800000000000004,178.96000000000004,135.16000000000003
349-U1433-B,2218,37.2,171.48000000000002,134.28000000000003,37.2,171.48000000000002,134.28000000000003
350-U1437-D,2450,85.44000000000003,219.32,133.87999999999997,85.44000000000003,219.32,133.87999999999997
362-U1480-G,1589,151.92000000000002,285.6,133.68,151.92000000000002,285.6,133.68
353-U1445-A,2954,0.0,133.12,133.12,0.0,133.12,133.12
369-U1513-D,2162,19.0,151.32000000000002,132.32000000000002,19.0,151.32000000000002,132.32000000000002
