Borehole_ID,total_min_depth,total_max_depth,total_depth_range
318_U1355_A,0.0,24.911,24.911
318_U1356_A,0.0,1000.059,1000.059
318_U1357_A,0.0,184.582,184.582
318_U1357_B,0.0,170.638,170.638
318_U1357_C,18.465,104.075,85.61
318_U1358_A,0.0,1.08,1.08
318_U1358_B,0.0,28.554,28.554
318_U1359_A,0.025,190.192,190.167
318_U1359_B,17.2,243.097,225.89700000000002
318_U1359_C,0.0,168.972,168.972
318_U1359_D,152.2,596.308,444.108
318_U1360_A,0.0,53.769,53.769
318_U1361_A,0.0,386.218,386.218
318_U1361_B,1.0,11.935,10.935
320_U1331_A,0.0,187.192,187.192
320_U1331_B,0.0,156.463,156.463
320_U1331_C,0.0,189.364,189.364
320_U1332_A,0.0,148.108,148.108
320_U1332_B,0.0,145.897,145.897
320_U1332_C,0.0,139.801,139.801
320_U1333_A,0.0,179.9,179.9
320_U1333_B,0.0,178.111,178.111
320_U1333_C,0.0,163.701,163.701
320_U1334_A,0.0,283.609,283.609
320_U1334_B,3.7,283.388,279.688
320_U1334_C,0.0,280.153,280.153
320_U1335_A,0.0,419.901,419.901
320_U1335_B,0.0,417.949,417.949
320_U1336_A,0.019,299.372,299.353
320_U1336_B,1.801,173.925,172.12400000000002
321_U1337_A,5.5,449.169,443.669
321_U1337_B,1.0,244.927,243.927
321_U1337_C,0.0,439.769,439.769
321_U1337_D,0.0,441.605,441.605
321_U1338_A,0.0,407.957,407.957
321_U1338_B,0.0,414.454,414.454
321_U1338_C,0.0,395.449,395.449
323_U1339_A,0.0,33.856,33.856
323_U1339_B,32.5,196.557,164.057
323_U1339_C,0.0,194.925,194.925
323_U1339_D,0.0,200.441,200.441
323_U1340_A,0.0,514.952,514.952
323_U1340_B,0.0,54.12,54.12
323_U1340_D,0.0,26.588,26.588
323_U1341_A,0.0,358.858,358.858
323_U1341_B,0.0,594.998,594.998
323_U1341_C,0.0,230.266,230.266
323_U1342_A,0.0,55.601,55.601
323_U1342_C,0.0,45.319,45.319
323_U1342_D,0.0,117.643,117.643
323_U1343_A,0.0,201.17,201.17
323_U1343_C,0.0,231.27,231.27
323_U1343_D,0.0,8.348,8.348
323_U1343_E,0.0,700.584,700.584
323_U1344_A,0.0,746.274,746.274
323_U1344_B,0.0,4.399,4.399
323_U1344_D,0.0,277.195,277.195
323_U1344_E,0.0,1.452,1.452
323_U1345_A,0.0,146.98,146.98
323_U1345_C,0.0,148.184,148.184
323_U1345_D,0.0,150.056,150.056
324_U1347_A,90.1,315.127,225.02700000000002
324_U1348_A,84.2,318.791,234.591
324_U1349_A,144.8,250.221,105.42099999999999
324_U1350_A,152.6,315.948,163.34799999999998
327_U1362_A,346.0,470.436,124.43599999999998
327_U1363_B,0.0,57.141,57.141
327_U1363_C,170.0,193.022,23.02199999999999
327_U1363_D,198.0,222.305,24.305000000000007
327_U1363_F,0.0,31.153,31.153
327_U1363_G,0.0,24.343,24.343
329_U1365_A,0.0,75.248,75.248
329_U1365_B,0.0,75.598,75.598
329_U1365_C,0.0,74.676,74.676
329_U1365_D,1.5,18.672,17.172
329_U1365_E,71.0,124.489,53.489000000000004
329_U1366_B,0.022,17.038,17.016000000000002
329_U1366_C,0.0,25.176,25.176
329_U1366_D,0.101,18.617,18.516000000000002
329_U1366_E,0.0,4.569,4.569
329_U1366_F,0.0,29.633,29.633
329_U1367_B,0.0,22.301,22.301
329_U1367_C,0.1,26.562,26.462
329_U1367_D,0.0,25.099,25.099
329_U1367_E,0.0,24.149,24.149
329_U1367_F,17.0,51.517,34.517
329_U1368_B,0.0,15.984,15.984
329_U1368_C,0.101,15.934,15.832999999999998
329_U1368_D,0.0,14.498,14.498
329_U1368_E,0.0,10.378,10.378
329_U1368_F,0.0,105.549,105.549
329_U1369_B,0.0,17.566,17.566
329_U1369_C,0.0,15.532,15.532
329_U1369_E,0.0,15.364,15.364
329_U1370_B,0.0,7.632,7.632
329_U1370_D,0.0,72.76,72.76
329_U1370_E,0.0,71.491,71.491
329_U1370_F,0.0,71.912,71.912
329_U1371_B,0.0,7.974,7.974
329_U1371_C,0.0,9.677,9.677
329_U1371_D,0.0,131.453,131.453
329_U1371_E,3.0,130.248,127.24799999999999
329_U1371_F,0.0,130.352,130.352
329_U1371_G,0.0,1.165,1.165
329_U1371_H,0.0,6.017,6.017
330_U1372_A,0.1,232.584,232.484
330_U1373_A,0.0,66.166,66.166
330_U1374_A,0.0,521.803,521.803
330_U1375_A,9.998,10.099,0.10100000000000087
330_U1375_B,0.0,0.603,0.603
330_U1376_A,0.0,180.316,180.316
330_U1377_A,6.1,47.45,41.35
330_U1377_B,0.0,31.966,31.966
334_U1378_B,0.0,523.524,523.524
334_U1379_C,0.0,944.971,944.971
334_U1380_A,397.0,479.595,82.59500000000003
334_U1381_A,12.4,163.884,151.48399999999998
335_U1256_D,1507.1,1520.725,13.625
336_U1382_A,110.0,202.76,92.75999999999999
336_U1382_B,0.0,89.914,89.914
336_U1383_C,69.51,324.76,255.25
336_U1383_D,0.0,47.239,47.239
336_U1383_E,1.508,49.413,47.904999999999994
336_U1384_A,0.0,95.33,95.33
339_U1385_A,0.0,151.362,151.362
339_U1385_B,0.0,146.149,146.149
339_U1385_C,0.0,9.732,9.732
339_U1385_D,0.0,146.667,146.667
339_U1385_E,0.0,146.962,146.962
339_U1386_A,0.0,348.973,348.973
339_U1386_B,0.0,450.889,450.889
339_U1386_C,165.0,525.047,360.047
339_U1387_A,0.0,352.259,352.259
339_U1387_B,0.0,337.807,337.807
339_U1387_C,0.0,865.686,865.686
339_U1388_A,0.0,3.411,3.411
339_U1388_B,26.5,225.349,198.849
339_U1388_C,205.002,224.925,19.923000000000002
339_U1389_A,0.0,350.527,350.527
339_U1389_B,0.0,9.47,9.47
339_U1389_C,0.0,346.627,346.627
339_U1389_D,0.0,94.191,94.191
339_U1389_E,335.0,982.73,647.73
339_U1390_A,0.0,350.89,350.89
339_U1390_B,0.0,189.618,189.618
339_U1390_C,0.0,174.642,174.642
339_U1391_B,0.0,354.14,354.14
339_U1391_C,340.0,670.797,330.797
340_U1393_A,0.0,38.425,38.425
340_U1394_A,0.0,208.05,208.05
340_U1394_B,0.0,181.276,181.276
340_U1395_A,0.0,223.077,223.077
340_U1395_B,0.0,196.673,196.673
340_U1396_A,0.0,135.173,135.173
340_U1396_B,5.0,14.715,9.715
340_U1396_C,0.0,139.71,139.71
340_U1397_A,0.3,259.558,259.258
340_U1397_B,0.0,238.825,238.825
340_U1398_A,0.0,260.1,260.1
340_U1398_B,0.0,254.625,254.625
