iter	RMSE
0	0.3344106007
1	0.3258126759
2	0.3183569303
3	0.3121020564
4	0.3065724641
5	0.3018714408
6	0.2979230039
7	0.2944374065
8	0.2914434702
9	0.2888847785
10	0.286464378
11	0.284217453
12	0.2823083302
13	0.2806238205
14	0.2784739008
15	0.2765455604
16	0.2751945128
17	0.2738551155
18	0.272765351
19	0.2718183482
20	0.2710261292
21	0.2702139634
22	0.2690429068
23	0.2681321415
24	0.2673638167
25	0.266605961
26	0.2658854389
27	0.2653188647
28	0.2648468127
29	0.2643028571
30	0.2639131452
31	0.2633829632
32	0.263056763
33	0.2626727198
34	0.2621682058
35	0.2616327372
36	0.2613422698
37	0.26113482
38	0.2607481485
39	0.2604619659
40	0.2602171348
41	0.2600065069
42	0.2598078621
43	0.2594265217
44	0.2591981633
45	0.2590043626
46	0.2587678929
47	0.2585996304
48	0.2584002191
49	0.2581533191
50	0.2578051597
51	0.2574381205
52	0.2572897982
53	0.2571655046
54	0.2570272662
55	0.2568804898
56	0.256620368
57	0.2564799468
58	0.2563485153
59	0.2561147288
60	0.2559478718
61	0.2557457482
62	0.2554762556
63	0.2552502299
64	0.2551001139
65	0.2549331559
66	0.2547702316
67	0.2546262739
68	0.2544854546
69	0.2543259796
70	0.2541981509
71	0.2541065324
72	0.2539813329
73	0.2538451222
74	0.2537200319
75	0.2536177365
76	0.2534285084
77	0.253336478
78	0.2532236193
79	0.2530783561
80	0.2530023684
81	0.2528780286
82	0.2527620338
83	0.2526798373
84	0.252538246
85	0.2524146282
86	0.2522734408
87	0.2521503185
88	0.2520293824
89	0.2519154029
90	0.2518353604
91	0.2517318976
92	0.2516637844
93	0.2515720559
94	0.2514660563
95	0.2514018403
96	0.2513066773
97	0.251252443
98	0.2510887646
99	0.251016297
100	0.2509672117
101	0.2509027417
102	0.2508341473
103	0.2507196693
104	0.2506173251
105	0.2505299957
106	0.2504430802
107	0.2503033161
108	0.250194484
109	0.2501489455
110	0.2500526493
111	0.2499537809
112	0.2498580189
113	0.2497950044
114	0.249733113
115	0.2496758625
116	0.2496024094
117	0.2495521429
118	0.2494596356
119	0.2494001592
120	0.249348983
121	0.2492737648
122	0.2492011683
123	0.2491481635
124	0.2490709233
125	0.2489981899
126	0.2489177036
127	0.2488361354
128	0.2487861447
129	0.2487052865
130	0.2486351426
131	0.2485273875
132	0.2484748905
133	0.2484285355
134	0.2483729513
135	0.2482820889
136	0.2481617148
137	0.2480850505
138	0.2480061393
