feature,importance
Offset (cm),18.303827068825324
Site,16.010451737293952
Lithology Type,4.321814463625572
Full Lithology,4.251024805202449
NGR_NGR total counts (cps)_min,3.778232129954827
Core,3.5371113440206066
Latitude (DD),3.4120976575392934
MS_Magnetic susceptibility (instr. units)_min,3.091485989834198
Sect,3.055956063265847
Water Depth (mbsl),2.7918174475905597
NGR_Error (cps)_min,2.39394070793067
Degree of Consolidation,2.1457203877178075
MS_Magnetic susceptibility (instr. units)_mean,2.082099290742926
Type,2.019758915409295
Longitude (DD),1.9185356702453362
Exp,1.696633423066037
NGR_NGR total counts (cps)_mean,1.480668472855175
MS_Magnetic susceptibility (instr. units)_count,1.4010131751679276
NGR_Error (cps)_mean,1.3636883359025744
PWL_P-wave velocity xy (m/s)_mean,1.343265862257268
PWL_Depth CSF-B (m)_mean,1.23859129064603
Simplified Lithology,1.2304312718879271
Depth CSF-B (m),1.152131675026106
Lithology Subtype,1.1499030657718337
Principal,1.1369636943687362
NGR_Depth CSF-A (m)_max,1.120108918089664
PWL_Depth CSF-A (m)_mean,1.0677786503365878
NGR_Depth CSF-B (m)_max,0.7235773604379617
MS_Magnetic susceptibility (instr. units)_std,0.5939358553804208
Expanded Core Type,0.5751875397157098
NGR_NGR total counts (cps)_std,0.5371282348287351
NGR_Depth CSF-B (m)_mean,0.5209752885047727
NGR_Offset (cm)_mean,0.47293395008046496
NGR_Offset (cm)_max,0.4291328174591151
NGR_Depth CSF-B (m)_min,0.4260143228350905
Depth CSF-A (m),0.4236081259519372
NGR_Offset (cm)_std,0.4176043125846027
NGR_Depth CSF-A (m)_std,0.39899650887311566
Hole,0.3633711774022675
NGR_Error (cps)_std,0.34755586736449745
NGR_NGR total counts (cps)_max,0.3282534073987126
NGR_Error (cps)_max,0.32769170619414617
NGR_Depth CSF-A (m)_mean,0.32068356877748155
PWL_P-wave velocity xy (m/s)_std,0.30006366332885254
NGR_Depth CSF-B (m)_std,0.2873859271621471
PWL_Caliper separation (mm)_mean,0.2794920396578141
Prefix,0.27083874508597255
PWL_Depth CSF-B (m)_std,0.27004756062997426
MS_Magnetic susceptibility (instr. units)_max,0.2535512243501705
ICP_MnO (wt%),0.23555259970982828
PWL_Depth CSF-A (m)_std,0.20646886176508594
PWL_Offset (cm)_mean,0.19278836995332113
NGR_Depth CSF-A (m)_min,0.1917979848249704
PWL_Offset (cm)_std,0.17798737082193705
MAD_Moisture dry (wt%)_mean,0.16854400461085947
NGR_Offset (cm)_min,0.1444037706139017
CARB_Inorganic carbon (wt%),0.11293176568907279
Suffix,0.10973593731660887
A/W,0.10467313175349628
MAD_Mass dried sample (g)_mean,0.09376500137887656
CARB_Comments,0.0901130489996817
MAD_Moisture wet (wt%)_mean,0.06483042036017043
RGB_R_mean,0.060859620168805716
ICP_Ba (ppm),0.045607083850058024
PWC_Depth CSF-B (m),0.04472322234440918
PWL_Caliper separation (mm)_std,0.04363960836648081
MAD_Offset (cm)_std,0.04232616968892167
MAD_Mass porewater (g)_std,0.041829221920497074
ICP_MgO (wt%),0.03786410734457104
PWC_Depth CSF-A (m),0.03534959579046842
MAD_Moisture dry (wt%)_std,0.03070031100084284
ICP_CaO (wt%),0.029714558239018557
RGB_B_std,0.025368601866524006
RGB_Depth CSF-A (m)_mean,0.025082771389688837
ICP_Sr (ppm),0.024878295269075472
MAD_Mass wet sample (g)_std,0.01971548459218907
MAD_Depth CSF-B (m)_mean,0.017479663208715367
MAD_Depth CSF-B (m)_std,0.017384616518182718
RGB_G_std,0.017053577666035668
ICP_K2O (wt%),0.016049353900613603
RGB_Depth CSF-B (m)_std,0.01436956482656868
CARB_Top depth CSF-A (m),0.013910259155623151
RGB_Depth CSF-B (m)_mean,0.013886093516014357
RGB_G_mean,0.013080230990436325
CARB_Calcium carbonate (wt%),0.012153662984199013
MAD_Moisture wet (wt%)_std,0.011833957110655428
MAD_Offset (cm)_mean,0.010562215968920678
PWC_Caliper separation (mm),0.010054255117612305
MAD_Mass porewater (g)_mean,0.009999367367988326
ICP_Fe2O3t (wt%),0.008335362504762344
ICP_Top depth CSF-B (m),0.007575947524572923
MAD_Mass wet sample (g)_mean,0.007099784626785416
ICP_TiO2 (wt%),0.007011364969885156
RGB_R_std,0.003997425345632743
ICP_Al2O3 (wt%),0.00376960177032646
PWC_Sonic traveltime (microsecond),0.003530126104040863
ICP_Zr (ppm),0.003297740658559443
ICP_Cr (ppm),0.002904648333092377
PWC_Offset (cm),0.002727995849234018
SRM_Depth CSF-A (m)_mean,0.0020794957355018094
ICP_K (ppm) 769.9 nm ,0.0016737346308956106
ICP_Na (ppm) 589.6 nm ,0.001062200230624358
SRM_Depth CSF-B (m)_mean,0.0009605564693763453
SRM_Inclination raw (deg)_mean,0.0008980743171315822
CARB_Sulfur (wt%),0.0007492397616996397
ICP_V (ppm) 292.4 nm ,0.00017824453361048358
MAD_Mass dried sample (g)_std,9.485199737363315e-11
ICP_SiO2 250.7 nm ,0.0
ICP_S (ppm),0.0
ICP_SiO2 (wt%) 251.6 nm ,0.0
ICP_Rb (ppm),0.0
ICP_SiO2 (wt%) 288.2 nm ,0.0
ICP_P2O5 213.6 nm ,0.0
ICP_SiO2 (wt%),0.0
ICP_Sc (ppm),0.0
ICP_SiO2 (wt%) 250.7 nm ,0.0
ICP_Sc 361.4 nm ,0.0
ICP_Sc (ppm) 357.3 nm ,0.0
ICP_P2O5 (wt%) 214.9 nm ,0.0
ICP_Sc (ppm) 361.383 nm ,0.0
ICP_Sc (ppm) 361.4 nm ,0.0
ICP_Sc 357.3 nm ,0.0
ICP_SiO2 (wt%) 221.667 nm ,0.0
ICP_Ni (ppm),0.0
ICP_P2O5 (wt%) 213.6 nm ,0.0
ICP_P2O5 (wt%) 177.434 nm ,0.0
ICP_MgO 285.2 nm ,0.0
ICP_Mn (ppm) 257.6 nm ,0.0
ICP_MnO (wt%) 257.6 nm ,0.0
ICP_MnO (wt%) 259.372 nm ,0.0
ICP_MnO (wt%) 259.4 nm ,0.0
ICP_MnO 257.6 nm ,0.0
