Principal_Lithology,Lithology_Group,Count,Percentage
nannofossil ooze,Carbonate,49778,20.87075377558636
clay,Clay/Mud,37237,15.612605133623472
silty clay,Clay/Mud,18048,7.567105230057106
wackestone,Carbonate,14230,5.966306927289041
packstone,Carbonate,12548,5.261083578610181
mudstone,Clay/Mud,9952,4.172641359127233
claystone,Clay/Mud,9470,3.970550007127703
nannofossil chalk,Carbonate,7894,3.309769984822185
diatom ooze,Biogenic Silica,6095,2.555491266467091
clayey silt,Clay/Mud,5406,2.266609645040376
sand,Sand,5395,2.2619976017374825
mud,Clay/Mud,4894,2.0519399931238627
silty claystone,Clay/Mud,3798,1.5924127694900758
nannofossil clay,Carbonate,3487,1.4620177270173496
chalk,Carbonate,3410,1.429733423897093
interbedded silt and clay,Clay/Mud,2570,1.0775410262215626
gabbro,Mafic Igneous,2522,1.0574157463543894
sandstone,Sand,2448,1.0263892732258308
calcareous ooze,Carbonate,2409,1.0100374833337529
basalt,Mafic Igneous,2401,1.0066832700225572
foraminifera ooze,Carbonate,2213,0.9278592572094622
grainstone,Carbonate,2108,0.883835207500021
silty sand,Silt,1941,0.8138160046288143
siltstone,Silt,1614,0.6767125355336973
clast-poor sandy diamict,Sand,1380,0.5786017961812282
pebbly mud,Clay/Mud,1222,0.5123560832851165
silt,Silt,1199,0.5027127200154293
medium to coarse sandstone,Sand,1147,0.4809103334926585
lapilli tuff,Volcaniclastic,1131,0.4742019068702673
sandy silt,Silt,1086,0.4553344569947926
breccia,Conglomerate/Breccia,1022,0.4285007505052283
fine sand,Sand,891,0.3735755075344016
silty sandstone,Silt,887,0.3718984008788039
tuff,Volcaniclastic,855,0.3584815476340218
clast-rich sandy diamict,Sand,853,0.3576429943062228
interbedded siltstone and mudstone,Clay/Mud,809,0.3391948210946475
diatomite,Biogenic Silica,789,0.3308092878166587
conglomerate,Conglomerate/Breccia,644,0.2700141715512398
boninite,Mafic Igneous,596,0.2498888916840666
interbedded sand and mud,Clay/Mud,582,0.2440190183894744
marl,Carbonate,545,0.2285057818251951
ash,Volcaniclastic,541,0.2268286751695974
ash/tuff,Volcaniclastic,522,0.218862418555508
biosiliceous ooze,Biogenic Silica,490,0.2054455653107259
fine sandstone,Sand,466,0.1953829253771393
limestone,Carbonate,452,0.1895130520825471
breccia/conglomerate,Conglomerate/Breccia,437,0.1832239021240556
very fine sand,Sand,435,0.1823853487962567
clast-poor muddy diamict,Clay/Mud,420,0.1760961988377651
lapillistone,Volcaniclastic,379,0.158905855617888
rudstone,Carbonate,343,0.1438118957175081
clayey siltstone,Clay/Mud,333,0.1396191290785137
interbedded sandstone and mudstone,Clay/Mud,321,0.1345878091117204
silty mud,Clay/Mud,303,0.1270408291615305
tephra,Volcaniclastic,302,0.1266215524976311
sandy mud/mudstone to muddy sand/sandstone,Clay/Mud,299,0.1253637225059327
foraminifera chalk,Carbonate,292,0.1224287858586366
clast-rich muddy diamict,Clay/Mud,284,0.1190745725474411
hyaloclastite,Mafic Igneous,256,0.1073348259582568
calcarenite,Carbonate,253,0.1060769959665585
volcanic rock,Other,250,0.1048191659748601
sandy siltstone,Silt,219,0.0918215893939775
interbedded mud/mudstone and diamict,Clay/Mud,204,0.0855324394354859
foraminifera clay,Carbonate,173,0.0725348628546032
dolostone,Evaporite,173,0.0725348628546032
diorite,Intermediate/Felsic Igneous,165,0.0691806495434077
volcaniclastic rock,Volcaniclastic,164,0.0687613728795082
