Lithology,Class_Index,Test_Count,AUC
diatomite,41,759,0.9867753460312387
volcaniclastic rock,137,43,0.958547346984953
nannofossil chalk,96,1122,0.9548468013743632
volcanic rock,136,142,0.948507194290562
sand,110,946,0.9294904004059946
lapillistone,78,61,0.9278721180111156
tephra,131,64,0.9184612979354372
interbedded sandstone and mudstone,72,321,0.918235595509144
diatom ooze,39,320,0.8996139823079375
hyaloclastite,68,254,0.8990888418981275
very fine sand,134,224,0.8974357387909041
silty sand,129,145,0.8824702020885326
tuff,132,9,0.8797018547408563
lava,79,39,0.8767033248808855
silt,123,227,0.871091298060547
interbedded silt and clay,73,1053,0.8596965769633748
foraminifera chalk,52,7,0.8596427198764925
calcarenite,12,86,0.83306479308267
silty mud,127,149,0.8319713587266513
lapilli tuff,77,68,0.828374828536803
clayey silt,28,818,0.8249989582617724
sandstone,112,518,0.8196058985400246
limestone,80,141,0.8142375359800775
silty mudstone,128,15,0.8111510601572335
coarse sandstone,34,5,0.8087400809350486
mud,90,363,0.8004258278197672
ash/tuff,4,127,0.7988194420767796
packstone,101,4816,0.786390820887573
carbonate ooze,16,11,0.7848188169711221
siltstone,124,594,0.777772126760533
chert,19,9,0.7748812367953655
silty clay,125,2931,0.7710008969378641
rudstone,109,177,0.7649756750945049
clay,24,9228,0.7625785969628839
wackestone,138,3220,0.7609632523094693
foraminifera ooze,56,141,0.7578243450085941
silty sandstone,130,116,0.7509903965337489
foraminifera sand,57,6,0.746944143003557
fine sand,48,487,0.7457026385598132
calcareous ooze,13,290,0.743988349868026
mudstone,95,1903,0.7414038155365759
grainstone,61,762,0.7406023512172764
claystone,30,1214,0.7376018204926655
sandy mud,115,44,0.7320409598999453
interbedded sand and mud,70,174,0.7307700032971894
biosiliceous ooze,6,10,0.7234172922130776
sandy clay,113,51,0.7224860297390281
sandy claystone,114,3,0.7180889943860441
sandy silt,118,120,0.711447330643577
dolostone,44,105,0.707405429259824
nannofossil clay,97,1509,0.6984850397408817
gypsum rock,66,2,0.6981417849715165
nannofossil ooze,99,5172,0.6915487756674419
chalk,18,20,0.6888699172282781
calcilutite,14,30,0.6863659669441429
sand-silt-clay,111,36,0.6807956150802629
ash,3,15,0.6523362654425677
clayey siltstone,29,25,0.6519548549069278
medium to coarse sand,85,82,0.6440361666729267
breccia,9,131,0.6383250516569958
medium to coarse sandstone,86,485,0.6069795744197571
sandy siltstone,120,16,0.5960975306408575
breccia/conglomerate,10,155,0.5890230525555532
floatstone,51,23,0.5863168607938483
ooze,100,8,0.5751695681664029
boninite,7,596,0.5693058515456295
clayey sand,26,5,0.4996767119571361
silty claystone,126,77,0.48951195992703206
conglomerate,35,122,0.4702899509341245
fine sandstone,49,186,0.4652965117471141
basalt,5,880,0.3695788551132433
very fine sandstone,135,5,0.29010015147062146
clayey mud,25,24,0.2455670149726331
dolerite,43,77,0.21240431631953566
lapilli ash,75,1,0.20311051834437233
cataclasite,17,18,0.17432408663751947
agglomerate,0,22,0.07227433097027813
muddy siltstone,94,1,0.06492302823428353
pebbly mud,102,65,0.055196265034854225
gabbro,59,2,0.04230717063025591
coarse sand,32,10,0.024269693406891557
andesite,1,0,
anhydrite rock,2,0,
boundstone,8,0,
breccia/conglomerate/gravel,11,0,
carbonate,15,0,
clast-poor muddy diamict,20,0,
clast-poor sandy diamict,21,0,
clast-rich muddy diamict,22,0,
clast-rich sandy diamict,23,0,
clayey sandstone,27,0,
coal,31,0,
coarse sand and gravel,33,0,
dacite,36,0,
debris flow,37,0,
diabase,38,0,
diatom silt,40,0,
diorite,42,0,
dunite,45,0,
felsic patch,46,0,
felsic vein,47,0,
fine tuff,50,0,
foraminifera clay,53,0,
foraminifera limestone,54,0,
foraminifera mud,55,0,
foraminifera sandstone,58,0,
gabbronorite,60,0,
granofels,62,0,
gravel,63,0,
gravelly sand,64,0,
gravelly sandstone,65,0,
harzburgite,67,0,
interbedded mud/mudstone and diamict,69,0,
interbedded sand/sandstone and mud/mudstone,71,0,
interbedded siltstone and mudstone,74,0,
lapilli tephra,76,0,
marble,81,0,
marl,82,0,
marlstone,83,0,
medium sand,84,0,
metabasite,87,0,
metaclaystone,88,0,
metavolcanic rock,89,0,
muddy sand,91,0,
muddy sand/sandstone to silty mud/mudstone,92,0,
muddy silt,93,0,
nannofossil mud,98,0,
pebbly mudstone,103,0,
pebbly sandstone,104,0,
porcellanite,105,0,
radiolarian mud,106,0,
radiolarian ooze,107,0,
rhyodacite,108,0,
sandy mud/mudstone to muddy sand/sandstone,116,0,
sandy mudstone,117,0,
sandy silt to silty sand,119,0,
schist,121,0,
serpentinite,122,0,
ultramafic rock,133,0,
