Cluster,Size,Dominant,Purity,Count
1,1162,gabbro,98.19277108433735,1141
14,813,nannofossil ooze,93.2349323493235,758
2,615,gabbro,91.869918699187,565
16,885,gabbro,83.61581920903954,740
8,1444,wackestone,80.12465373961219,1157
5,1411,nannofossil ooze,61.80014174344437,872
13,750,nannofossil ooze,55.60000000000001,417
19,1315,clay,50.950570342205324,670
6,2577,mud,45.75087310826543,1179
12,238,foraminifera ooze,45.378151260504204,108
17,2001,clay,42.37881059470265,848
18,1594,mud,41.78168130489335,666
11,2383,silty clay,41.37641628199748,986
0,4553,nannofossil ooze,41.049857236986604,1869
15,2059,interbedded silt and clay,31.423020883924234,647
7,2579,silty claystone,30.089181853431562,776
4,238,gabbro,28.15126050420168,67
10,1978,nannofossil ooze,27.502527805864506,544
3,736,marl,25.679347826086957,189
9,1262,silty clay,23.534072900158478,297
